No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference
1021,Steroid,O=C1CCC2C3CC=C4[C@@H](C)CCC[C@]4(C)C3CC[C@@]21C,5.744727495,Inactive,286.5,0,4,0,1,4.687,17.07,0.19087351,-855.4294852,2.9381,-0.22711,-0.0104,0.21671,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-42
1022,Steroid,O=C1CCC2C3CC=C4[C@@H](CC)CCC[C@]4(C)C3CC[C@@]21C,5.346787486,Inactive,300.53,1,4,0,1,5.143,17.07,0.189988722,-894.7401327,2.9179,-0.22695,-0.01042,0.21653,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-43
1023,Steroid,O=C1CCC2C3CC=C4[C@@H](CCC)CCC[C@]4(C)C3CC[C@@]21C,5.259637311,Inactive,314.56,2,4,0,1,5.599,17.07,0.18883614,-934.049737,2.6175,-0.2276,-0.01471,0.21289,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-44
1026,Steroid,O=C1CCC2C3CCC4=C(OC(C)=O)CCC[C@]4(C)C3CC[C@@]21C,6.180456064,Active,330.51,2,4,0,3,3.772,43.37,0.219589296,-1043.99364,2.2815,-0.22775,-0.01188,0.21587,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-45
1027,Steroid,O=C1CCC2C3CCC4=C(OC(C)=O)CCC[C@]4(CO)C3CC[C@@]21C,5.443697499,Inactive,346.51,3,4,1,4,2.681,63.6,0.223803982,-1119.202104,3.9932,-0.23065,-0.01318,0.21747,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-46
1028,Steroid,O=C1CCC2C3CCC4=C(OC(CCC)=O)CCC[C@]4(C)C3CC[C@@]21C,5.823908741,Inactive,358.57,4,4,0,3,4.895,43.37,0.215532917,-1122.62049,2.4512,-0.22726,-0.01169,0.21557,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-47
1029,Steroid,O=C1CCC2C3CCC4=C(OC(CCCCC)=O)CCC[C@]4(C)C3CC[C@@]21C,5.744727495,Inactive,386.63,6,4,0,3,5.808,43.37,0.211392955,-1201.248132,2.4934,-0.22704,-0.01168,0.21536,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-48
1030,Steroid,O=C1CCC2C3CCC4=C(OC(C5=CC=CC=C5)=O)CCC[C@]4(C)C3CC[C@@]21C,6.193820026,Active,392.58,3,5,0,3,5.437,43.37,0.202679492,-1235.722894,2.2876,-0.22524,-0.04674,0.1785,Structure-activity relationships of 3-deoxy androgens as aromatase inhibitors. Synthesis and biochemical studies of 4-substituted 4-ene and 5-ene steroids,Steroids. 2003 Aug;68(6):533-49
1033,Non-Steroid,FC1=CC(CN(C2=CC=C(C#N)C=C2)C3=CN=CN=C3)=CC(F)=C1,10.4202164,Active,322.34,4,3,0,6,3.681,52.81,0.221268889,-1111.784738,3.7871,-0.2316,-0.06575,0.16585,"Studies on aromatase inhibitors. IV. Synthesis and biological evaluation of N,N-disubstituted-5-aminopyrimidine derivatives",Chem Pharm Bull. 1997;45(8):1293-9
1034,Non-Steroid,BrC(C=C1)=CC=C1CN(C2=CC=C(C#N)C=C2)N3C=NN=C3,9.886056648,Active,354.23,4,3,0,4,3.415,57.74,0.200624353,-3462.310164,5.0826,-0.24256,-0.05357,0.18899,"Studies on aromatase inhibitors. IV. Synthesis and biological evaluation of N,N-disubstituted-5-aminopyrimidine derivatives",Chem Pharm Bull. 1997;45(8):1293-10
1035,Non-Steroid,C12=CC=CC=C1C=C(C(C3=CC=CC=C3)N4C=CN=C4)O2,7.363512104,Active,274.34,3,4,0,2,3.714,30.96,0.183124771,-879.0536537,4.0902,-0.22188,-0.02984,0.19204,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-6
1036,Non-Steroid,ClC(C=C1)=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,8.113509275,Active,308.78,3,4,0,2,4.378,30.96,0.179111657,-1338.648956,3.3893,-0.2241,-0.0329,0.1912,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-7
1037,Non-Steroid,FC(C=C1)=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,8.13667714,Active,292.33,3,4,0,3,3.919,30.96,0.199813686,-978.2866721,3.2547,-0.2224,-0.0279,0.1945,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-8
1039,Non-Steroid,CC1=CC=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,8.102372909,Active,288.37,3,4,0,2,4.2,30.96,0.192650342,-918.3658578,3.6516,-0.21827,-0.02497,0.1933,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-9
1040,Non-Steroid,CC(C=C1)=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,8.055517328,Active,288.37,3,4,0,2,4.2,30.96,0.190483263,-918.3669426,4.099,-0.22018,-0.03505,0.18513,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-10
1041,Non-Steroid,BrC1=C2C(OC(C(C3=CC=CC=C3Cl)N4C=CN=C4)=C2)=CC=C1,7.91721463,Active,387.67,3,4,0,2,5.127,30.96,0.176634971,-3909.743784,3.5673,-0.22204,-0.03889,0.18315,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-11
1042,Non-Steroid,ClC1=CC=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,7.709965389,Active,308.78,3,4,0,2,4.378,30.96,0.181638686,-1338.641997,3.6895,-0.21833,-0.03086,0.18747,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-12
1043,Non-Steroid,COC1=CC=CC=C1C(N2C=CN=C2)C3=CC4=CC=CC=C4O3,7.705533774,Active,304.37,4,4,0,3,3.697,40.19,0.199808949,-993.5739843,3.8385,-0.21232,-0.01879,0.19353,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-13
1044,Non-Steroid,ClC1=CC=C(Cl)C=C1C(N2C=CN=C2)C3=CC4=C(Cl)C=CC=C4O3,7.537602002,Active,377.66,3,4,0,2,5.707,30.96,0.173839057,-2257.831238,4.493,-0.22736,-0.0454,0.18196,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-14
1045,Non-Steroid,ClC1=C2C(OC(C(C3=CC=CC=C3)N4C=CN=C4)=C2)=CC=C1,7.482804102,Active,308.78,3,4,0,2,4.378,30.96,0.179391143,-1338.649201,3.9206,-0.22509,-0.04041,0.18468,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-15
1046,Non-Steroid,ClC1=C2C(OC(C(C3=CC=CC=C3)N4C=CN=C4)=C2)=CC(Cl)=C1,7.428291168,Active,343.22,3,4,0,2,5.043,30.96,0.175084029,-1798.242357,3.4534,-0.22837,-0.05042,0.17795,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-16
1047,Non-Steroid,CC1=C(C(C2=CC=CC=C2)N3C=CN=C3)OC4=CC=CC=C41,7.308918508,Active,288.37,3,4,0,2,4.2,30.96,0.182935368,-918.3705344,3.5026,-0.21635,-0.02426,0.19209,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-17
1048,Non-Steroid,ClC1=C2C(OC(C(C3=CC=CC=C3Cl)N4C=CN=C4)=C2)=CC=C1,7.172630727,Active,343.22,3,4,0,2,5.043,30.96,0.177950943,-1798.234133,3.4827,-0.2223,-0.03886,0.18344,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-18
1049,Non-Steroid,BrC1=C2C(OC(C(C3=CC=CC=C3)N4C=CN=C4)=C2)=CC=C1,7.133712661,Active,353.23,3,4,0,2,4.462,30.96,0.178118143,-3450.158858,3.9049,-0.22482,-0.04058,0.18424,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-19
1050,Non-Steroid,CC1=C2C(OC(C(C3=CC=CC=C3Cl)N4C=CN=C4)=C2)=CC=C1,7.037157319,Active,322.81,3,4,0,2,4.864,30.96,0.187452474,-1377.956809,5.1414,-0.21439,-0.03345,0.18094,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-20
1051,Non-Steroid,C12=CC=CC=C1C=C(C(C3=CC=C(C4=CC=CC=C4)C=C3)N5C=CN=C5)O2,6.616184634,Active,350.44,4,5,0,2,5.232,30.96,0.174608578,-1110.111083,4.1474,-0.22124,-0.03342,0.18782,Substituted 1-[benzofuran-2-yl)-phenylmethyl]-imidazoles as potent inhibitors of aromatase in vitro and in female rats in vivo,J Steroid Biochem Mol Biol. 1993;44(4-6):675-21
1055,Non-Steroid,FC1=CC=C(C(C2=CC=C(NC=C3)C3=C2)N4C=CN=C4)C=C1,7.580044252,Active,291.35,3,4,1,2,3.618,33.61,0.199062083,-958.4266027,5.7561,-0.21071,-0.02126,0.18945,Synthesis and biological evaluation of 5-[(aryl)(1H-imidazol-1-yl)methyl]-1H-indoles: potent and selective aromatase inhibitors,Bioorg Med Chem Lett. 2006;16(5):1134-7
1056,Non-Steroid,ClC1=CC=C(C(C2=CC=C(NC=C3)C3=C2)N4C=CN=C4)C=C1,7.815308569,Active,307.8,3,4,1,1,4.077,33.61,0.17898025,-1318.790188,6.5672,-0.21434,-0.0238,0.19054,Synthesis and biological evaluation of 5-[(aryl)(1H-imidazol-1-yl)methyl]-1H-indoles: potent and selective aromatase inhibitors,Bioorg Med Chem Lett. 2006;16(5):1134-8
1057,Non-Steroid,ClC1=CC=CC(C(C2=CC=C(NC=C3)C3=C2)N4C=CN=C4)=C1,7.527243551,Active,307.8,3,4,1,1,4.077,33.61,0.179072611,-1318.789017,4.9861,-0.21135,-0.02513,0.18622,Synthesis and biological evaluation of 5-[(aryl)(1H-imidazol-1-yl)methyl]-1H-indoles: potent and selective aromatase inhibitors,Bioorg Med Chem Lett. 2006;16(5):1134-9
1058,Non-Steroid,CN(C=C1)C(C1=C2)=CC=C2C(N3C=CN=C3)C4=CC=CC=C4,7.53313238,Active,287.39,3,4,0,1,3.618,22.75,0.175974949,-898.5057289,5.563,-0.20394,-0.01641,0.18753,Synthesis and biological evaluation of 5-[(aryl)(1H-imidazol-1-yl)methyl]-1H-indoles: potent and selective aromatase inhibitors,Bioorg Med Chem Lett. 2006;16(5):1134-10
1059,Non-Steroid,N#CC1=CC=C(C(C2=CC=C(NC=C3)C3=C2)N4C=CN=C4)C=C1,7.714442691,Active,298.37,3,4,1,2,3.291,57.4,0.197092243,-951.4360735,7.7462,-0.21726,-0.0578,0.15946,Synthesis and biological evaluation of 5-[(aryl)(1H-imidazol-1-yl)methyl]-1H-indoles: potent and selective aromatase inhibitors,Bioorg Med Chem Lett. 2006;16(5):1134-11
1060,Non-Steroid,COC1=CC=C(C(N2C=NC=N2)CC(C3=CC=CC=C3)O4)C4=C1,5.853871964,Inactive,307.38,3,4,0,4,2.869,49.17,0.199200975,-1010.831778,3.1341,-0.21433,-0.00545,0.20888,Synthesis and evaluation of 4-triazolylflavans as new aromatase inhibitors,Bioorg Med Chem Lett. 2004;14(20):5215-8
1061,Non-Steroid,COC1=CC=C(C(N2C=NN=C2)CC(C3=CC=CC=C3)O4)C4=C1,4.500312917,Inactive,307.38,3,4,0,4,2.472,49.17,0.200735625,-1010.81805,6.6805,-0.22519,-0.01374,0.21145,Synthesis and evaluation of 4-triazolylflavans as new aromatase inhibitors,Bioorg Med Chem Lett. 2004;14(20):5215-9
1062,Non-Steroid,OC1=CC=C(C(N2C=NC=N2)CC(C3=CC=CC=C3)O4)C4=C1,6.366531544,Active,293.35,2,4,1,4,2.617,60.17,0.20905873,-971.5265989,3.5832,-0.22611,-0.01331,0.2128,Synthesis and evaluation of 4-triazolylflavans as new aromatase inhibitors,Bioorg Med Chem Lett. 2004;14(20):5215-10
1063,Non-Steroid,COC1=CC=C(C(N2C=NC=C2)CC(C3=CC=CC=C3)O4)C4=C1,7.040958608,Active,306.39,3,4,0,3,2.996,36.28,0.188726244,-994.7934514,4.4578,-0.21792,-0.00869,0.20923,Synthesis and evaluation of 4-triazolylflavans as new aromatase inhibitors,Bioorg Med Chem Lett. 2004;14(20):5215-11
1064,Non-Steroid,OC1=CC=C(C(N2C=NC=C2)CC(C3=CC=CC=C3)O4)C4=C1,7.387216143,Active,292.36,2,4,1,3,2.745,47.28,0.198564658,-955.4867737,4.2736,-0.22013,-0.01014,0.20999,Synthesis and evaluation of 4-triazolylflavans as new aromatase inhibitors,Bioorg Med Chem Lett. 2004;14(20):5215-12
1065,Steroid,C=C1CCC2C3CCC4=CC(CC[C@]4(C5=NC5)C3CC[C@@]21C)=O,5.259637311,Inactive,309.49,1,5,0,2,3.755,29.43,0.20923504,-946.3820926,2.3698,-0.23946,-0.05963,0.17983,"Synthesis of 10 beta-(1'-azirinyl)estr-4-en-3,17-dione as an aromatase inhibitor",Steroids. 1996;61(3):138-43
1066,Steroid,O=C1CCC2C(CCC3C2CCC4(C)C3CCC4=C)=C1F,6.318758763,Active,288.44,0,4,0,2,4.195,17.07,0.197028717,-914.1259872,4.9901,-0.24218,-0.04896,0.19322,"Synthesis and evaluation of analogues of 4-androstene-3,17-dione as aromatase inhibitors",Steroids. 1987;49(4-5):371-82
1067,Steroid,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4=C)=C1F,6.37675071,Active,302.47,0,4,0,2,4.401,17.07,0.199522898,-953.4338497,4.9732,-0.24164,-0.04919,0.19245,"Synthesis and evaluation of analogues of 4-androstene-3,17-dione as aromatase inhibitors",Steroids. 1987;49(4-5):371-82
1073,Non-Steroid,O=C(C1=CC=CC=C1C/2)C2=C\C3=CC(OCCCN4C=CN=C4)=CC(OC)=C3,6.259637311,Active,374.47,7,4,0,4,3.578,53.35,0.20659654,-1224.845751,2.3163,-0.22177,-0.07614,0.14563,Synthesis of some imidazolyl-substituted 2-benzylidene indanone derivatives as potent aromatase inhibitors for breast cancer therapy,Med Chem Res. 2011;20(6):661-669
1074,Non-Steroid,O=C(C1=CC=CC=C1C/2)C2=C\C3=CC(OC)=CC(OCCCN4C=NC=C4)=C3,5.872895202,Inactive,374.47,7,4,0,4,3.578,53.35,0.20668086,-1224.845844,5.1039,-0.22251,-0.07655,0.14596,Synthesis of some imidazolyl-substituted 2-benzylidene indanone derivatives as potent aromatase inhibitors for breast cancer therapy,Med Chem Res. 2011;20(6):661-670
1076,Non-Steroid,O=C(C1=CC=CC=C1C/2)C2=C\C3=CC=CC(OCCCN4C=NC=C4)=C3,6.15490196,Active,344.44,6,4,0,3,3.594,44.12,0.191712,-1110.322723,5.2462,-0.22433,-0.0788,0.14553,Synthesis of some imidazolyl-substituted 2-benzylidene indanone derivatives as potent aromatase inhibitors for breast cancer therapy,Med Chem Res. 2011;20(6):661-671
1079,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=CN=CC=C3,5.036212173,Inactive,235.3,1,3,0,2,3.112,29.96,0.177944742,-747.5026514,4.7927,-0.23789,-0.07635,0.16154,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 17,J Med Chem. 1996;39(4):834-41
1080,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=CC=NC=C3,5.337242168,Inactive,235.3,1,3,0,2,3.112,29.96,0.182234387,-747.5029348,3.5439,-0.24771,-0.07967,0.16804,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 18,J Med Chem. 1996;39(4):834-42
1081,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=NC=CN=C3,4.420216403,Inactive,236.29,1,3,0,3,2.39,42.85,0.188851233,-763.5355689,3.1528,-0.24612,-0.08167,0.16445,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 19,J Med Chem. 1996;39(4):834-43
1083,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=CC=NN=C3,3.987162775,Inactive,236.29,1,3,0,3,2.645,42.85,0.180967767,-763.5062026,3.8751,-0.23535,-0.08866,0.14669,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 20,J Med Chem. 1996;39(4):834-44
1086,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=CN=CS3,5.958607315,Inactive,241.33,1,3,0,2,3.01,58.2,0.18923425,-1068.26959,2.4354,-0.23194,-0.08296,0.14898,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 21,J Med Chem. 1996;39(4):834-45
1087,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=NNC=C3,4.744727495,Inactive,224.28,1,3,1,2,3.136,45.75,0.208097414,-725.4221993,5.1867,-0.22399,-0.06489,0.1591,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 22,J Med Chem. 1996;39(4):834-46
1088,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C\C3=CNC=N3,6.585026652,Active,224.28,1,3,1,2,2.579,45.75,0.214178172,-725.443638,4.9494,-0.21051,-0.05884,0.15167,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 23,J Med Chem. 1996;39(4):834-47
1089,Non-Steroid,O=C(C1=CC=CC=C1CC/2)C2=C/C3=CNC=N3,6.769551079,Active,224.28,1,3,1,2,2.579,45.75,0.214178172,-725.443638,4.9494,-0.21051,-0.05884,0.15167,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 24,J Med Chem. 1996;39(4):834-48
1093,Non-Steroid,O=C1C(C(O)C2=NC=NC=C2)CCC3=CC=CC=C31,4.568636236,Inactive,254.31,2,3,1,4,1.985,63.08,0.215838364,-839.9734205,4.3576,-0.24114,-0.05509,0.18605,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 25,J Med Chem. 1996;39(4):834-49
1096,Non-Steroid,C12=CC=CC=C1C3C(C3C4=CN=CC=C4)CC2,4.886056648,Inactive,221.32,1,4,0,1,3.152,12.89,0.161064625,-673.4680585,2.3306,-0.22366,-0.01826,0.2054,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 26,J Med Chem. 1996;39(4):834-50
1097,Non-Steroid,C12=CC=CC=C1C3C(C3C4=CC=NC=C4)CC2,6.431798276,Active,221.32,1,4,0,1,3.152,12.89,0.165368844,-673.4697572,3.0614,-0.22896,-0.02388,0.20508,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 27,J Med Chem. 1996;39(4):834-51
1099,Non-Steroid,C12=CC=CC=C1C3C(C3C4=NNC=C4)CC2,4.292429824,Inactive,210.3,1,4,1,1,2.965,28.68,0.188054433,-651.3836312,2.2982,-0.21333,0.0032,0.21653,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 28,J Med Chem. 1996;39(4):834-52
1100,Non-Steroid,C12=CC=CC=C1C3C(C3C4=CNC=N4)CC2,6.22184875,Active,210.3,1,4,1,1,2.408,28.68,0.191865933,-651.4025712,3.6224,-0.20115,0.00754,0.20869,Tetrahydronaphthalenes: influence of heterocyclic substituents on inhibition of steroid enzymes P450 arom and P450 29,J Med Chem. 1996;39(4):834-53
1101,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4CCCC[C@]4(CO)C3CC1)=O,4.2518,Inactive,302.45,1,4,1,3,2.414,54.37,0.215961708,-965.3411226,4.8998,-0.22851,-0.05255,0.17596,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-200
1102,Steroid,C[C@]12C(C3C(C=C4CCCC[C@@]4(C3CC2)CO)=O)CC[C@@H]1O,3.8539,Inactive,304.47,1,4,2,3,2.453,57.53,0.2133168,-966.5236839,5.8687,-0.23661,-0.04967,0.18694,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-201
1103,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4CCCC[C@]4(C=O)C3CC1)=O,4.2218,Inactive,300.43,1,4,0,3,2.67,51.21,0.214614891,-964.1408435,2.989,-0.23657,-0.06608,0.17049,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-202
1104,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4CCCCC4C3CC1)=O,4.5528,Inactive,272.42,0,4,0,2,3.298,34.14,0.209085409,-850.8325227,3.3737,-0.23178,-0.04773,0.18405,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-203
1105,Steroid,C[C@]12C(C3C(C=C4CCCC[C@@]4(C3CC2)C)=O)CC[C@@H]1O,4.3768,Inactive,288.47,0,4,1,2,3.544,37.3,0.209748714,-891.3195851,4.36,-0.22898,-0.04783,0.18115,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-204
1106,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4C=CCC[C@]4(CO)C3CC1)=O,4.2218,Inactive,300.43,1,4,1,3,1.969,54.37,0.209459065,-964.0230314,4.9446,-0.20016,-0.06437,0.13579,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-205
1107,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4C=CCC[C@]4(C=O)C3CC1)=O,4.9586,Inactive,298.41,1,4,0,3,2.226,51.21,0.210125955,-962.8152824,3.7699,-0.21678,-0.07877,0.13801,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-206
1108,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4C=CCCC4C3CC1)=O,4.4815,Inactive,270.4,0,4,0,2,2.854,34.14,0.202150786,-849.5132755,3.366,-0.20783,-0.07069,0.13714,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-207
1109,Steroid,C[C@@]12C(CCC2=O)C3CC=C4CCCC[C@]4(CO)C3CC1,5.1612,Inactive,288.47,1,4,1,2,3.344,37.3,0.195373,-891.3201749,2.7547,-0.22864,-0.01176,0.21688,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-208
1110,Steroid,C[C@]12C(C3CC=C4CCCC[C@@]4(C3CC2)CO)CC[C@@H]1O,4.2076,Inactive,290.49,1,4,2,2,3.384,40.46,0.194555784,-892.4986186,2.865,-0.22692,0.01911,0.24603,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-209
1111,Steroid,C[C@]12C(C3CC=C4CCCC[C@@]4(C3CC2)C=O)CCC1=O,5.0458,Inactive,286.45,1,4,0,2,3.601,34.14,0.204656213,-890.0197444,3.8941,-0.23073,-0.01846,0.21227,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-210
1112,Steroid,C[C@]12C(C3CC=C4CCCC[C@@]4(C3CC2)C)CCC1=O,5.8195,Inactive,272.47,0,4,0,1,4.435,17.07,0.199388917,-816.0147501,1.9103,-0.226,0.03068,0.25668,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-211
1113,Steroid,C[C@]12C(C3CC=C4CCCC[C@@]4(C3CC2)C)C[C@H](C1=O)Br,4.2596,Inactive,351.36,0,4,0,1,5.104,17.07,0.193347083,-3387.197187,3.8472,-0.2313,-0.05211,0.17919,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-212
1114,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4CCCC[C@]4(C)C3CC1)=O,5.7447,Inactive,286.45,0,4,0,2,3.504,34.14,0.210938915,-890.1399533,3.5176,-0.23126,-0.04814,0.18312,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-213
1115,Steroid,C[C@@]12C(CCC2=O)C3C(C=C4C=CCC[C@]4(C)C3CC1)=O,5.7447,Inactive,284.43,0,4,0,2,3.06,34.14,0.210706556,-888.8996197,2.907,-0.23146,-0.06505,0.16641,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-214
1116,Steroid,C[C@]12C(C3C(C=C4C=CCC[C@@]4(C3CC2)C)=O)CC[C@@H]1O,4.3768,Inactive,286.45,0,4,1,2,3.099,37.3,0.20003517,-890.0141106,4.9585,-0.20159,-0.06375,0.13784,Three-dimensional quantitative structure-activity relationships of steroid aromatase inhibitors,J Comput Aided Mol Des. 1996;10(3):186-215
